WARNING: crossbar sizes with different row annd column dimension not supported.

      ==> Functional simulator configurations:
          weight_bits=16
          weight_bit_frac=12
          input_bits=16
          input_bit_frac=12
          xbar_row_size=128
          xbar_col_size=128
          tile_row=2
          tile_col=2
          bit_stream=1
          bit_slice=2
          adc_bit=14
          acm_bits=32
          acm_bit_frac=24
          mvm=False
          non-ideality=False
          
xbmodel=NN_model(
  (fc1): Linear(in_features=16512, out_features=500, bias=True)
  (relu1): ReLU(inplace=True)
  (do2): Dropout(p=0.5, inplace=False)
  (fc3): Linear(in_features=500, out_features=128, bias=True)
)
          
xbmodel_weight_path=../xb_models/XB_128_stream1slice207dropout50epochs.pth.tar
          inmax_test=1.4
          inmin_test=0.826


DEVICE: cuda:0
GPU Id(s) being used: 1,2,3
==> Building model and model_mvm for resnet18 ...
WARNING: crossbar sizes with different row annd column dimension not supported.
==> Initializing model parameters ...
==> Load pretrained model form ../pretrained_models/ideal/resnet18fp_imnet.pth.tar ...
Pretrained model accuracy: 69.93189239501953
[141/782(18%)]	Loss 1.0608 (0.9675)	Prec@1 67.188 (77.102)	Prec@5 93.750 (92.848)
[142/782(18%)]	Loss 0.8101 (0.9664)	Prec@1 82.812 (77.142)	Prec@5 89.062 (92.821)
[143/782(18%)]	Loss 0.7848 (0.9652)	Prec@1 71.875 (77.105)	Prec@5 98.438 (92.860)
[144/782(18%)]	Loss 1.4092 (0.9682)	Prec@1 62.500 (77.004)	Prec@5 87.500 (92.823)
[145/782(19%)]	Loss 1.0876 (0.9691)	Prec@1 70.312 (76.958)	Prec@5 95.312 (92.840)
[146/782(19%)]	Loss 1.4999 (0.9727)	Prec@1 68.750 (76.903)	Prec@5 85.938 (92.793)
[147/782(19%)]	Loss 1.0217 (0.9730)	Prec@1 73.438 (76.879)	Prec@5 93.750 (92.800)
[148/782(19%)]	Loss 1.0433 (0.9735)	Prec@1 76.562 (76.877)	Prec@5 90.625 (92.785)
[149/782(19%)]	Loss 0.9569 (0.9734)	Prec@1 79.688 (76.896)	Prec@5 90.625 (92.771)
[150/782(19%)]	Loss 1.2713 (0.9753)	Prec@1 65.625 (76.821)	Prec@5 90.625 (92.757)
[151/782(19%)]	Loss 1.6549 (0.9798)	Prec@1 62.500 (76.727)	Prec@5 87.500 (92.722)
[152/782(19%)]	Loss 0.4272 (0.9762)	Prec@1 90.625 (76.818)	Prec@5 98.438 (92.759)
[153/782(20%)]	Loss 1.4015 (0.9790)	Prec@1 71.875 (76.786)	Prec@5 93.750 (92.766)
[154/782(20%)]	Loss 0.9537 (0.9788)	Prec@1 71.875 (76.754)	Prec@5 95.312 (92.782)
[155/782(20%)]	Loss 0.9474 (0.9786)	Prec@1 71.875 (76.723)	Prec@5 95.312 (92.798)
